aanwijzing|tender
abdis|kepala asrama biarawati
abolisi|absolusi
abolisi|amnesti
abolisi|bebas
abolisi|belas kasih
abolisi|belas kasihan
abolisi|pemaafan
abolisi|pembebasan
abolisi|remisi
abolisi|peniadaan
abolisi|amnesti
abolisi|pemulihan
abolisi|grasi
abolisi|penghapusan
abonemen|subskripsi
abonemen|berlangganan
abonemen|langganan
abonemen|uang langganan
absolusi|pengampunan dosa
absolusi|pengampunan
absolut|mutlak
absolut|penuh
absolut|sepenuhnya
absolut|pasti
absolut|nyata
absolut|positif
absolut|tentu
absolut|sepenuh
absolut|sebetulnya
abstrak|mujarad
abstrak|ringkasan
abstrak|ikhtisar
abstrak|intisari
abstrak|niskala
abstrak|inti
mengabstrak|memisahkan
mengabstrak|memisah
mengabstrak|mengintisarikan
mengabstrak|mengikhtisarkan
accoord|setuju
adiksi|ketergantungan
adiksi|kecanduan
adiksi|ketagihan
adempauze|rehat
adempauze|istirahat
adempauze|berhenti sejenak
administrasi|pengaturan
administrasi|manajemen
administrasi|tata kelola
administrasi|tata usaha
administrasi|rezim
administrasi|pemerintahan
administrasi|tadbir
administrasi|ilmu pemerintahan
administrasi|pengelolaan
administrasi|penadbiran
administrasi|tata laksana
admiral|raja laut
admiral|laksamana
advis|saran
advis|advice
advis|nasihat
advis|nasehat
advis|anjuran
advis|petunjuk
advis|petuah
advis|wejangan
advis|penasihatan
advis|rembuk
advis|syur
advokat|adjuster
advokat|peguam
advokat|pembela hukum
advokat|pembela
advokat|penasihat hukum
advokat|pendamping
advokat|pengacara
advokat|pokrol
advokat|lawyer
advokat|hakim
advokat|jaksa
advokat|pengacara
afdeling|departemen
afdeling|seksi
afdeling|divisi
afdeling|bagian
afdruk|cetakan
afkir|ditolak
afkir|ditampik
afkir|tidak diterima
afspraak|janji lisan
afspraak|janjian
afspraak|kencan
afspraak|ketemuan
afspraak|janji
afspraak|penetapan
agenda|jadwal acara
agenda|jadwal
agenda|acara
agenda|rencana
agresi|serangan
agresi|penyerangan
agresif|giat
agresif|penuh inisiatif
