arja|a Balinese opera|ᬳᬭ᭄ᬚ|arja|a Balinese opera||
awatara|avatar|ᬅᬯᬢᬭ|awatara|avatar|1. see also avatar. 2. Loanword from Sanskrit अवतार (IAST: avatāra, avatar)|
awig-awig||ᬳᬯᬶᬕ᭄ᬳᬯᬶᬕ᭄|awig-awig||Awig-awig is Balinese adat (customary) law.|
babarangan|bonang|ᬩᬩᬭᬗᬦ᭄|babarangan|bonang||
bade||ᬩᬤᬾ|bade||Bade is tower for Balinese Hinduism cremation ceremony.|
bakaran||ᬩᬓᬭᬦ᭄|bakaran|||
bancingah||ᬩᬜ᭄ᬘᬶᬗᬄ|bancingah|||
bandrang|spear|ᬩᬦ᭄ᬤ᭄ᬭᬂ|bandrang|spear||
bangkung|sow (pig)|ᬩᬗ᭄ᬓᬸᬂ|bangkung|sow (pig)||
banjar||ᬩᬜ᭄ᬚᬃ|banjar||Banjar is administrative division below the village in Bali.|
banten|offering|ᬩᬦ᭄ᬢᭂᬦ᭄|banten|offering||
barong|barong|ᬩᬭᭀᬂ|barong|barong||
bebali||ᬩᭂᬩᬮᬶ|bebali||Bebali is a sacred dance in Bali.|
bebangkit||ᬩᭂᬩᬗ᭄ᬓᬶᬢ᭄|bebangkit||Bebangkit is an offering for Durga.|
bebarongan||ᬩᭂᬩᬭᭀᬗᬦ᭄|bebarongan||Bebarongan is a type of roofing in Bali.|
bebekel||ᬩᭂᬩᭂᬓᭂᬮ᭄|bebekel|||
beli|||||Beli is older brother in Balinese.|
bendesa||ᬩᭂᬦ᭄ᬤᬾᬰ|bendésa||Bendesa is Balinese adat village head.|
caturjalma||||||
Cokorda||||||
Dewa||ᬤᬾᬯ|dewa||1. Dewa is a title for Brahmin caste in Bali. 2. Loanword of Sanskrit देव ((IAST: deva)).|
