agape|agape|ἀγάπη|agápē|agape|||||
apokrifa|1. uncertain source. 2. biblical apocrypha|ἀπόκρυφος|apókruphos|hidden|||||
apologi|1. remorse. 2. defense|ᾰ̓πολογῐ́ᾱ|apologíā|(Ancient) defense|||||
asbes|asbestos|ἄσβεστος|ásbestos|unquenchable, inextinguishable|asbest|asbestos|Dutch|Dutch asbest (asbestos) is based on Latin asbestos (asbestos).|
asbestos|asbestos|ἄσβεστος|ásbestos|unquenchable, inextinguishable|asbest|asbestos|Dutch|Dutch asbest (asbestos) is based on Latin asbestos (asbestos).|
askese|rigorous self-denial|ἀσκητής|askētḗs|monk, hermit|||||
autopsi|autopsy|αὐτοψῐ́ᾱ|autopsíā|seeing with one's own eyes|autopsie|autopsy|Dutch|Dutch autopsie (autopsy) is based on New Latin autopsia (autopsy).|
otopsi|autopsy|αὐτοψῐ́ᾱ|autopsíā|seeing with one's own eyes|autopsie|autopsy|Dutch|Dutch autopsie (autopsy) is based on New Latin autopsia (autopsy).|
demokrasi|democracy|δημοκρατία|dēmokratía|democracy|democratie|democracy|Dutch||
diaken|deacon|διάκονος|diákonos|servant, messenger|diaken|deacon|Dutch||
diakon|deacon|διάκονος|diákonos|servant, messenger|diaken|deacon|Dutch||
diakonia|diaconia|δῐᾱκονῐ́ᾱ|diākoníā|service|||||
ekaristi|eucharist|εὐχᾰρῐστῐ́ᾱ|eukharistíā|1. thanks, gratitude. 2. giving of thanks. 3. eucharist|eucharistie|eucharist|Dutch||
evangeli|Gospel|εὐάγγελος|euángelos|good news|ēvangelium|good news, Gospel|Latin||
filsafat|philosophy|φιλοσοφία|philasophia|philosophy|فَلْسَفَة|falsafa|philosophy|Arabic|
hipokrit|hypocrite|ῠ̔ποκρῐτής|hupokritḗs|1. interpreter. 2. actor.|hypocrita|1. mimic (mime artist). 2. hypocrite|Latin|1. The Greek word is υποκριτής (ypokritís).|
idola|idol|εἴδωλον|eídōlon|1. phantom, ghost quotations. 2. shape, figure, image. 3. image of the mind: idea, fancy. 4. representation, statue, idol|idolum, idola|1. image, form, especially a spectre, apparition or ghost. 2. idol|Latin||
idola|idol|εἴδωλον|eídōlon|1. phantom, ghost quotations. 2. shape, figure, image. 3. image of the mind: idea, fancy. 4. representation, statue, idol|idool, idoolen|idol|Dutch||
idola|idol|εἴδωλον|eídōlon|1. phantom, ghost quotations. 2. shape, figure, image. 3. image of the mind: idea, fancy. 4. representation, statue, idol|idol, idolum|idol|English||
mitos|myth|μῦθος|mythos|1. word, speech, conversation. 2. tale, story, narrative.|mitos|myth (pl.)|Portuguese||
oikumene|ecumene|οἰκουμένη|oikouménē|1. inhabited. 2. civilised world.|||||
ekumene|ecumene|οἰκουμένη|oikouménē|1. inhabited. 2. civilised world.|||||
porno|pornography, lewd|πόρνη|pórnē|harlot||||1. From contraction of Indonesian pornografi (pornographic), from Dutch pornografie or English pornography, from French pornographie. 2. Pornografi is a formal word in Indonesia, while porno is informal.|
sinagoge|synagogue,|συναγωγή|synagogē|assembly|synagoge|synagogue|Dutch|Synagogue is Judaism prayer house.|
stadion|stadium|στάδιον|stadion|(Ancient) 600-foot|stadion|stadium|Dutch|The Greek word is στάδιο (stadio).|
teater|theatre|θέᾱτρον|théātron|(Ancient) theatre, play|theater|theatre|Dutch|1. The Greek word is θέατρο (théatro). 2. Dutch theater (theatre) is based from Old French theatre, from Latin theatrum.|
