aikido|aikido|合気道|合氣道|aikidō|aikido||
ajinomoto|flavour enhancer|味の素|味の素|ajinomoto|ajinomoto|the trademarked product name for monosodium glutamate (MSG), a flavour enhancer, held by Ajinomoto Co.|
anata|second-person pronoun|あなた; 貴方; 貴女; 貴男|あなた; 貴方; 貴女; 貴男|anata|second-person pronoun||
anime|anime|アニメ|アニメ|anime|animation|contraction from アニメーション (animēshon), a loanword from English for animation|
arigato|thank you|ありがとう|ありがとう|arigatō|thank you||
arigato|thank you|有り難う|有り難う|arigatō|thank you||
arigato|thank you|有難う|有難う|arigatō|thank you||
aza|hamlet|字|字|aza|a section of a village||
bakero|stupid, Japanese swear word|ばかやろう; 馬鹿野郎|ばかやろう; 馬鹿野郎|bakayarō|stupid|1. see baka. 2. variation are included バカやろう, バカヤロウ, バカヤロオ and バカヤロー.|
banggo|number|番号|番號|bangō|number|(Military-related term)|
banzai|long life cheers|万歳|萬歲|banzai|long life cheers|lit. "ten thousand years," such as 天皇陛下万歳 (Tennōheika Banzai!) "Long live His Majesty the Emperor"|
bento|bento|弁当|辨當|bento|lunch box||
bogodan|Japanese police assistant in Sumatra|防護団|防護團|bōgodan|protection + unit|(Military-related term)|
bokugo|air-raid shelter|防空壕|防空壕|bōkūgō|air-raid shelter|(Military-related term)|
boshi|hat, cap|帽子|帽子|bōshi|hat, cap|(Military-related term)|
bonsai|miniature potted plant|盆栽|盆栽|bonsai|tray plantting, bonsai||
buco|departmental head|部長|部長|buchō|departmental head||
budan|platoon|分団|分團|budan|platoon|(Military-related term) 分隊 (buntai) = platoon|
budanco|platoon commander|分団長|分團長|budanchō|platoon commander|(Military-related term) 分隊 (buntai) = platoon|
bupin|goods, material|物品|物品|buppin|goods, material|(Military-related term)|
bushido|bushido|武士道|武士道|bushidō|bushido|(Military-related term) 1. way of warrior, 2. code of conduct for Japanese samurai|
butai|troops, a unit|部隊|部隊|butai|troops, a unit|(Military-related term)|
canoyu|Japanese tea ceremony|茶の湯|茶の湯|chanoyu|tea ceremony|The Japanese tea ceremony, also called the Way of Tea, is a Japanese cultural activity involving the ceremonial preparation and presentation of matcha (抹茶), powdered green tea.|
cudan|company|中団|中團|chūdan|company|(Military-related term)|
cudanco|company commander|中団長|中團長|chūdanchō|company commander|(Military-related term)|
cugako|junior high school|中学校|中學校|chūgakkō|junior high school||
cusetsu|submission to the fatherland|忠節|忠節|chūsetsu|loyalty;  allegiance;  fidelity|(Military-related term)|
cuto|secondary, intermediate|中等|中等|chūtō|medium, middle||
dai|great, large|大|大|dai|great, large|such as 大日本 (dai nippon)|
daidan|battalion|大団|大團|daidan|battalion||
daidanco|battalion commander|大団長|大團長|daidanchō|battalion commander||
daihonei|imperial headquarter|大本営|大本營|daihonei|imperial headquarter|(Military-related term)|
dakocan|air-filled black plastic dolls|ダッコ-ちゃん|ダッコ-ちゃん|dakko-chan|a mascot|the company mascot of Takara|
~dan|rank for judo, karate, and kenpo|段|段|dan|dan, an East Asia ranking system||
~dan|unit|団|團|dan|unit||
danco|unit commander|団長|團長|danchō|unit commander||
dohyo|dohyō|土俵|土俵|dohyō|dohyō|dohyō, sumo ring|
dokuritsu|independence|独立|獨立|dokuritsu|independence, separation|such as in Badan Penyelidik Usaha Persiapan Kemerdekaan Indonesia (独立準備調査会, Dokuritsu Junbi Chōsa-kai) and Panitia Persiapan Kemerdekaan Indonesia (独立準備委員会, Dokuritsu Junbi Inkai)|
domei|dōmei|同盟|同盟|dōmei|union, alliance|shorthand of 同盟通信社 (dōmei tsūshinsha, lit. Federated News Agency) Imperial Japanese News Agency|
dojo|dojo|道場|道場|dōjō|dojo|karate training place|
doyo|dojo|道場|道場|dōjō|dojo|karate training place|
ebi|dried shrimp|えび; 蝦; 海老|えび; 蝦; 海老|ebi|prawn,  shrimp,  lobster,  crayfish||
eise|hygiene, health|衛生|衛生|eisei|hygiene, sanitary, health||
emoji|Japanese emoticon, emoji|絵文字|繪文字|emoji|emoji|Emoji are ideograms and smileys used in electronic messages and web pages.|
endaka|strong yen|円高|圓高|endaka|strong yen||
ensyu|practice, training|演習|演習|enshū|exercise, drill, practice||
fujinkai|women association|婦人会|婦人會|fujinkai|women association||
fukan|adjutant|副官|副官|fukkan|adjutant, aide-de-camp|Adjutant is a military appointment given to an officer who assists the commanding officer with unit administration.|
fungkaico|assistant chairperson|副会長|副會長|fukukaichou|assistant chairperson||
fusimban|night guard|不寝番|不寢番|fushinban|night watch;  vigilance||
gakari|duty|係; 掛|係; 掛|kakari|(person in) charge,  duty|through rendaku form -gakari|
gako|school|学校|學校|gakko|school||
gakutotai|student militia|学徒隊|學徒隊|gakutotai|student militia|(Military-related term)|
geisha|geisha|芸者|藝者|geisha|geisha|traditional Japanese female entertainer|
genjumin|native (pejorative)|原住民|原住民|genjūmin|aborigine|sensitive. 先住民 is more acceptable.|
gigaku|gigaku|伎楽|伎樂|gigaku|gigaku|Gigaku refers to an extinct genre of masked drama-dance performance, imported into Japan during the Asuka period.|
giyugun|Pembela Tanah Air|義勇軍|義勇軍|giyūgun|volunteer army|see Pembela Tanah Air (郷土防衛義勇軍, kyōdo bōei giyūgun)|
giyuhei|volunteer|義勇兵|義勇兵|giyūhei|volunteer soldier||
go|go|囲碁|圍碁|i-go|go|Go is an abstract strategy board game for two players, in which the aim is to surround more territory than the opponent.|
gobo|Arctium lappa|牛蒡; ゴボウ|牛蒡; ゴボウ|gobō|Arctium lappa||
gongyo|buddhist liturgy|勤行|勤行|gon-gyō|buddhist liturgy||
gun|district|郡|郡|gun|district|see Administrative divisions of Japan|
gunco|district chief (wedana)|郡長|郡長|gunchō|district chief|see Administrative divisions of Japan|
gunseibu|Japanese military administration|軍政部|軍政部|gunseibu|military government|refers to Japanese occupation of the Dutch East Indies|
gunseikan|Japanese military government (chief)|軍政官|軍政官|gunseikan|military government official|refers to Japanese occupation of the Dutch East Indies|
gunsyireikan|army commander|軍司令官|軍司令官|gunshireikan|army commander|(Military-related term)|
haiku|haiku|俳句|俳句|haiku|haiku|Haiku (俳句) is a very short Japan poem with seventeen syllables and three verses.|
hakugekiho|trench mortar|迫撃砲|迫撃砲|hakugekihō|mortar|(Military-related term)|
hanco|squad leader|班長|班長|hanchō|squad leader|(Military-related term)|
hansei|reflection, reconsideration|反省|反省|hansei|reflection, reconsideration||
harakiri|harakiri|腹切|腹切|harakiri|harakiri|Seppuku, sometimes referred to as harakiri, is a form of Japanese ritual suicide by disembowelment.|
hayabusa|type of Japanese warplane|隼|隼|hayabusa|peregrine falcon|(Military-related term)|
heiho|Japanese colonial auxiliaries|兵補|兵補|heiho|auxiliaries||
hentai|1. pornographic (adj.) 2. pornographic anime, manga or Japanese computer game.|変態|變態|hentai|1. metamorphosis, transformation 2. abnormality 3. pervert, hentai|1. Pervert meaning in Japanese based on contraction of 変態性欲 (hentai seiyoku, lit. perverse sexual desire). 2. The original meaning in the Japanese language is transformation or metamorphosis.|
hikoki|aeroplane|飛行機|飛行機|hikōki|aeroplane||
hinomaru|national flag of Japan|日の丸|日の丸|hinomaru|national flag of Japan||
hiragana|hiragana|平仮名; ひらがな|平仮名; ひらがな|hiragana|hiragana|Hiragana is a Japanese syllabary.|
hokokai|Japanese colonial mobilisation group|奉公会|奉公會|hōkōkai|public service association|such as Jawa Hokokai.|
honbu|headquarters|本部|本部|honbu|headquarters||
honda|moped, autocycle; pickup truck|本田|本田|honda|Honda, name of vehicle manufacturer.||
hoso kyoku|broadcasting station|放送局|放送局|hōsōkyoku|broadcasting station||
iaido|iaido|居合道|居合道|iaidō|iaido|Iaidō (居合道), abbreviated with iai (居合), is a Japanese martial art that emphasizes being aware and capable of quickly drawing the sword and responding to a sudden attack.|
iaidoka|iaido practitioner|居合道家|居合道家|iaidōka|iaido practitioner||
ici|one|一|一|ichi|one||
iciban|most|一番|一番|ichiban|most||
ikebana|ikebana|生花|生花|ikebana|ikebana|Ikebana (生け花, "living flowers") is the Japanese art of flower arrangement.|
ipon|crushing victory|一本|一本|ippon|1.  one point, 2.  a blow|see ippon|
jibaku|1. suicide bomber 2. reckless, desperate attack|自爆|自爆|jibaku|suicide bombing, self-destruction|1. see also kamikaze. 2. Common use with prefix ber- in form of berjibaku.|
berjibaku|1. suicide bomber 2. reckless, desperate attack|自爆|自爆|jibaku|suicide bombing, self-destruction|1. see also kamikaze. 2. Common use with prefix ber- in form of berjibaku.|
jibakutai|suicide squad|柔道隊|柔道隊|jibakutai|suicide squad||
jinci|fortification, position|陣地|陣地|jinchi|encampment, position||
johobu|intelligence section|情報部|情報部|jōhōbu|1. information bureau, 2. intelligence department||
joto|first class|上等|上等|jōtō|first class||
ju|rifle, gun|銃|銃|jū|gun||
