acuh|careful|acuah
anjungan|pavilion|anjuang
awak|you (regional), crew, member|awak
bantah|denies|bantah
baruh|lowland|baruah
bernas|spirited|boneh
bunda|mother|bundo
buyung|sonny|buyuang
cabul|lewd|cabua
cakak|fight|cakak
campin|skilled|campin
cegak|vigorous|cegak
celoteh|babble|ciloteh
cemeeh|jeer|cemeeh
cengang|amazed|cangang
dara|girl, virgin, dove|daro
dadih|buttermilk|dadiah
dendang|sing|dendang
gadang|large|gadang
gadis|girl, virgin|gadih
gaek|aged|gaek
galau|confusion|galau
gelimang|mixed|galimang
gengsi|prestige|gengsi
heboh|commotion, fuss|heboh: noisy
himbau|appeal, please (prohibit/warn)|imbau
jangat|skin|jangek
jenjang|ladder|janjang
jerang|boiled|jarang
jinjing|pick-up|jinjiang
junjung|respectful|junjuang
kelok|meanders|kelok
lamban|slow|lamban
lampau|over, past|lampau
lancang|sassy|lancang
nan|which, who (connecting word)|nan
ngarai|canyon|ngarai
nian|very, really, truly|nian
pencak|art (martial art)|pancak
penghulu|chief of family|panghulu
ranah|realm, domain|ranah: land
rancak|beautiful|rancak
rantau|foreign country|rantau
rendang|rendang|randang
sanak|family|sanak
semarak|splendor|semarak
silat|silat (martial art)|silek
surau|mosque|surau
tandas|demolished|tandeh
teroka|open up new areas|taruko
terompah|sandals|tarompah
tuah|good luck|tuah
tungkai|leg|tungkai
usang|obsolete|usang
