belanja|shopping, expense|वलञ्ज|valañja|that which is spent or secreted|
biku|bhikkhu (classical)|भिक्खु|bhikkhu|beggar, bhikkhu|see also biksu from Sanskrit.
bikuni|bhikkhuni (classical)|भिक्खुणी|bhikkhuṇī|beggar, bhikkhuni|see also biksuni from Sanskrit.
dana|allocated money|धन|dhana|treasure|
dana|donation, funds|दान|dāna|giving, liberality; offering, alms|cognate of Sanskrit दान (dāna).
duka|sadness|दुक्ख|dukkha|stress; suffering; pain; distress; discontent|
loba|greed|लोभ|lobha|greed; passion; unskillful desire.|
mara|calamity|मार|māra|mara (demon)|cognate of Sanskrit मार (māra).
merana|sick, sadness|मारण|māraṇa|killing, slaughter, murder|cognate of Sanskrit मारण (māraṇa).
percaya|believe|परिचय|paricaya|familiarity|cognate of Sanskrit प्रत्ययः (pratyayaḥ)
raga|(physical) body|राग|rāga|lust; greed|
