anggur|grape|انگور|an-gūr
baju|shirt|بازو|bāzū (arm)
bandar|port|بندر|bandar
cadar|veil|چادر|chādar
dewan|assembly, meeting|دیوان|divan (administration)
firdaus|eden, bountiful garden|فردوس|firdaus
gandum|wheat|گندم|gandum
juang|battle|جنگ|jang
kaisar|emperor|قیصر|qeysar
kismis|raisin|کشمش|kishmish
kurma|date|خرما|khurmā
medan|area, field, square|میدان|meidan
nakhoda|captain of a ship|ناخدا|nākhodā
pahlawan|hero|پ‍ﮩ‍لوان|pahlwān
pasar|market/bazaar|بازار|bāzār
pesona|charm|افسون|afsūn
piala|cup, trophy|پیاله|pyāla (cup, bowl)
pirus|turquoise|سنگ فیروزه|firuze
rubah|fox|روباه|rubah
salam|hello/regards|سلام|salam (a is pronounced like in autograph)
sihir|magic|سِحْر|sihr
syahbandar|portmaster|شاهِ بندر|shah-e bandar (lit. "king of the port")
takhta|throne|تخت|takht
taufan|typhoon|تافون|taufan
ustad|teacher (religious, Islam)|اُستَاذ|ustad
yunani|Greece|يونان|yūnān
zirah|armor|زره|zirah
