abrak|clear mining product, such as glass, mica|अभ्रक|abhraka|talc, mica|
acara|event, item in a programme|आचार|ācāra|custom, practice, behaviour|
ada|presence, have, true|आधा|ādhā|hold, possess|
adakala|sometimes|कदा काल|kadā-kāla|kada: some time, kala: time|lit. whenever-time
adalah|to be (definition)|आधारः|ādhāraḥ|vessel, comprehension, relation|
adi|ultimate (poetic)|अधि|adhi|above, beside|prefix
adicita|ideology|अधिचित्त|adhicitta|above, besidethinking, aim, reason|
adikara|powerful, rampant|अधिकार|adhikāra|supremacy, authority|
adikarya|masterpiece|अधिकार्य|adhikārya|above, besidework, oeuvre, product|
adikuasa|superpower|अधिवश|adhivaśa|above, besidepower, control, dominion|
adimarga|great road|अधिमार्गः|adhimārgaḥ|above, besideroad|
adipati|noble (title), local government|अधिपति|adhipati|above, besidegovern|
dipati|noble (title), local government|अधिपति|adhipati|above, besidegovern|
adiraja|High king|अधिराज|adhiraja|above, besideking|
adiratna|great jewel|अधिरत्न|adhiratna|above, besidejewel|
adisiswa|honor student, valedictorian|अधिशिष्यः|adhiśiṣyah|above, besidestudent|
aditokoh|hero, protagonist|अधि|adhi|above, beside|tokoh means character.
adiwangsa|great nation, nobleman|अधिवंश|adhivaṁśa|above, besidelineage, dynasty|see bangsa.
adiwarna|very beautiful, very good|अधिवर्ण|adhivarṇa|above, besidecolor|
agama|religion|आगम|āgama|traditional doctrine, sacred teaching|
agung|grand, great||agūṁ|grand|see adi-
ahimsa|not injuring anything|अहिंसा|ahiṃsā|not injuring anything|
ajnabi|stranger (classic word)|अज्ञाति|ajñāti|not a kinsman, not related|अज्ञ (ajñā) = unknown.
aksara|letter|अक्षर|akṣara|letter|
alpa|negligent|अल्प|alpa|small, minute|
amarah|anger|आमर्ष|āmarṣa|anger|
amerta|immortal, eternal, unforgotten|अमृत|amṛta|immortal, drink of the gods|
ananda|son|धर्मनन्दननन्दन|dharmanandananaṃdana|"dharma-'s joy or son"son|
anakda|son|धर्मनन्दननन्दन|dharmanandananaṃdana|"dharma-'s joy or son"son|
nanda|son|धर्मनन्दननन्दन|dharmanandananaṃdana|"dharma-'s joy or son"son|
ananta|endless, infinity|अनन्त|ananta|Ananta|
aneka|multifarious, varied, all sorts|अनेक|aneka|many, various|a- (not), eka (one)
anekaragam|variety show|अनेक ग्रामः|aneka-rāgam|various scale|
anekawarna|multi-colored|अनेक वर्ण|aneka-varṇa|various color|
anggota|limb, member|अङ्गता|aṅga-jāḥ|born from the body, limbs, member|
angka|numerical figure|अङ्क|aṅka|numerical constant|
angkara|insolence, cruel|अहंकार|ahaṁ-kāra|ego, pride-maker|
angkasa|sky|आकाश|ākāśa|sky|
angkasawan|astronaut|आकाश वन|ākāśa-vān|the sky + having; possessing|
angsa|goose|हंस|haṁsa|swan|
angsana|Pterocarpus indicus|असन|asana|Terminalia Tomen Indica|
aniaya|maltreatment, abuse, injustice, tyranny|अन्याय|anyāya|sinful activities, mischief|
antara|among, (in) between|अन्तर्|antar|among, between, in the middle|
~antar-|among, (in) between|अन्तर्|antar|among, between, in the middle|
antariksa|outer space|अन्तरिक्ष|antarikṣa|the middle of the three spheres or regions of lifeatmosphere or space deity|
anugerah|award, honour, grace|अनुग्रह|anugraha|to bestow blessings, compassion|
anumerta|posthumous, posthumous military award for achievement|अनुमृत्|anumṛt|dying after, following in death|
anuswara|nasal sound, especially nasal consonants|अनुस्वारः|anusvāra|nasal sound, see anusvara|
arti|meaning|अर्थ-|arthakrti|meaningunderstanding|for example, अर्थकथा (arthakathā) = explaining meanings.
arya|1. title for high official in Java in the past 2. ancestor of Indian, Persian and European|आर्य|ārya|(honourable) man, master|see Aryan
asa|hope|आशा|āśā|hope|
asana|1. foot position (representing the deva) 2. chair, throne|आसन|āsana|sitting (according peculiar pose to the custom of devotees), see asana|
asmara|love, passion|स्मरः|smaraḥ|love|
asrama|dormitory|आश्रम|āśrama|religious order, college, hermitage|
asta|eight|अष्ट|aṣṭa|eight|prefix
atau|or|अथवा|athavā|alternatively, or, either|
atma|soul, life|आत्मन्|ātman|breath, life, spirit, soul|see atman
ayah|father|आर्य-|ārya, ayya|man|(same in Tamil and Telugu)
baca|read|वाच्|vāc|words, talk|
bagai|as if, like|भग|bhaga|good fortune|
bagi|for, give|भाग|bhāga|(to) divide|
baginda|majesty|भाग्य|bhāgya|good fortune|+ -nda: Austronesian suffix
bagus|fine, good, exemplary|भग|bhaga|good fortune, happiness, welfare|
bahagia|blissful, lucky, blessed, happy|भाग्य|bhāgya|good fortune, luck, happiness|
bahasa|language|भाषा|bhāṣā|sign, description|
bahaya|danger|भय|bhaya|fear|
bahtera|ship|वहित्र|vahitra|a boat, ship|
bahu|shoulder|बाहु|bāhu|arm|
bahu|many|बहु|bahu|many|prefix
bahwa|that (conj.)|भव|bhava|become, state of being|
baiduri|opal (gem)|वैडूर्य|vaiḍūrya|cat's eye (gem)|
baja|steel, strong metal|वाज|vāja|strength|
waja|steel, strong metal|वाज|vāja|strength|
bakti|homage, devotion, service etc.|भक्ति|bhakti|bhakti|
bhakti|homage, devotion, service etc.|भक्ति|bhakti|bhakti|
bala|disaster, calamity; also means help, assist|बल|bala|power, strength, force|
bangsa|nation, race|वंश|vaṁśa|lineage, dynasty|see vaṃsa
bangsawan|noble|वंश वन|vaṁśa-vān|of the dynasty + having, possessing|
barat|west|भरत|bhārata|India|India is located west from Indonesia.
baruna|sea god|वरुण|varuṇa|Varuna|
basmi|eliminate, destroy|भस्मन्|bhasman|devour, consume, pulverize (to ashes)|
bau|an area measurement unit, 7.096 m²|बाहु|bāhu|arm|
bayu|wind (poetic)|वायु|vāyu|Vayu: Hindu god of wind|
bela|defend|वेला|velā|time-limit, boundary, interval|
belaka|merely|बालक|bālaka|young|
belantara|jungle|वनान्तर|vanāntara|(interior of a) forest|
belia|youth|बाल्य|bālya|childhood age, infancy|
bencana|disaster, calamity|वञ्चन|vañcana|deception|
benda|object|भाण्ड|bhāṇḍa|goods|
bendahara|treasurer|भाण्डार|bhāṇḍāra|store, storehouse|
berahi|passionate love|विरहिन्|virahin|separated (especially from beloved person)|
birahi|passionate love|विरहिन्|virahin|separated (especially from beloved person)|
berhala|idol, image of a god|भट्टार|bhaṭṭāra|lord|
berita|news|वार्ता|vārtā|news|see warta.
besi|iron (metal)|वाशी|vāśī|pointed knife|
bestari|clever (vast of knowledge)|विस्तारिन्|vistārin|extending, large, broad|
biara|monastery|विहार|vihāra|Buddha or Jaina convent|see wihara.
biarawan|male monasticism|विहारवन|vihāravan|Buddha or Jaina convent-man|see wihara.
